time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.4683,-0.0462,-0.5206,0.2533,0.0749,-0.0743,0.0207,
0.4700,-0.0484,-0.5230,0.2556,0.0762,-0.0837,0.0427,
0.4717,-0.0511,-0.5243,0.2583,0.0776,-0.0931,0.0648,
0.4733,-0.0541,-0.5244,0.2616,0.0788,-0.1021,0.0865,
0.4750,-0.0572,-0.5234,0.2652,0.0800,-0.1107,0.1076,
0.4767,-0.0604,-0.5210,0.2692,0.0809,-0.1187,0.1278,
0.4783,-0.0634,-0.5173,0.2736,0.0817,-0.1260,0.1466,
0.4800,-0.0660,-0.5122,0.2781,0.0822,-0.1323,0.1638,
0.4817,-0.0681,-0.5056,0.2829,0.0824,-0.1377,0.1789,
0.4833,-0.0695,-0.4974,0.2877,0.0825,-0.1420,0.1916,
0.4850,-0.0701,-0.4875,0.2926,0.0823,-0.1451,0.2015,
0.4867,-0.0696,-0.4758,0.2975,0.0818,-0.1471,0.2083,
0.4883,-0.0681,-0.4624,0.3022,0.0813,-0.1479,0.2118,
0.4900,-0.0654,-0.4472,0.3068,0.0806,-0.1477,0.2115,
0.4917,-0.0615,-0.4302,0.3110,0.0798,-0.1464,0.2075,
0.4933,-0.0563,-0.4115,0.3150,0.0790,-0.1442,0.1994,
0.4950,-0.0499,-0.3912,0.3186,0.0782,-0.1412,0.1875,
0.4967,-0.0424,-0.3694,0.3217,0.0775,-0.1375,0.1716,
0.4983,-0.0337,-0.3463,0.3243,0.0769,-0.1331,0.1519,
0.5000,-0.0241,-0.3221,0.3264,0.0765,-0.1283,0.1287,
0.5017,-0.0136,-0.2971,0.3279,0.0761,-0.1230,0.1023,
0.5033,-0.0024,-0.2715,0.3288,0.0759,-0.1175,0.0731,
0.5050,0.0093,-0.2456,0.3292,0.0758,-0.1117,0.0416,
0.5067,0.0214,-0.2198,0.3290,0.0757,-0.1058,0.0084,
0.5083,0.0336,-0.1942,0.3282,0.0757,-0.0999,-0.0258,
0.5100,0.0459,-0.1693,0.3268,0.0757,-0.0938,-0.0603,
0.5117,0.0581,-0.1452,0.3250,0.0757,-0.0878,-0.0945,
0.5133,0.0699,-0.1222,0.3227,0.0755,-0.0817,-0.1275,
0.5150,0.0813,-0.1005,0.3200,0.0752,-0.0756,-0.1587,
0.5167,0.0921,-0.0802,0.3169,0.0748,-0.0695,-0.1873,
0.5183,0.1022,-0.0615,0.3136,0.0741,-0.0634,-0.2127,
0.5200,0.1116,-0.0444,0.3101,0.0732,-0.0571,-0.2343,
0.5217,0.1201,-0.0289,0.3065,0.0720,-0.0508,-0.2515,
0.5233,0.1278,-0.0149,0.3028,0.0706,-0.0444,-0.2640,
